Open_time,Open,High,Low,Close,Volume
2021-06-17,348.61,350.26,348.55,348.85,13140.3601
2021-06-17,348.84,348.84,347.41,348.43,15743.2428
2021-06-17,348.43,348.96,347.41,348.24,9813.6656
2021-06-17,348.24,349.73,347.95,348.96,7069.8981
2021-06-17,348.97,349.53,348.0,348.68,8668.3732
2021-06-17,348.66,350.0,346.25,349.82,23760.5108
2021-06-17,349.82,349.89,347.45,348.66,9453.084
2021-06-17,348.66,348.7,347.05,348.37,7564.6512
2021-06-17,348.35,349.27,348.05,348.9,5560.5392
2021-06-17,348.9,348.9,347.56,347.88,6478.3661
2021-06-17,347.87,348.64,347.38,348.5,10695.383
2021-06-17,348.51,349.39,348.33,349.37,4706.261
2021-06-17,349.38,349.71,349.12,349.39,5074.8204
2021-06-17,349.38,349.4,348.21,349.1,5999.8312
2021-06-17,349.08,350.61,348.71,350.61,9287.3563
2021-06-17,350.56,350.62,348.5,349.5,7907.4837
2021-06-17,349.49,351.08,348.9,350.94,7768.9928
2021-06-17,350.92,353.11,349.94,352.86,19275.6215
2021-06-17,352.85,352.85,351.0,351.34,5513.0576
2021-06-17,351.34,351.71,350.39,351.22,6631.7578
2021-06-17,351.22,353.0,351.15,352.85,7696.4765
2021-06-17,352.84,354.0,351.44,353.93,10979.4153
2021-06-17,353.92,354.2,352.58,352.98,9356.5237
2021-06-17,352.97,353.67,352.4,352.4,7251.6395
2021-06-17,352.4,353.32,350.0,350.98,10581.0611
2021-06-17,350.98,352.26,350.11,351.28,10120.7995
2021-06-17,351.32,351.87,349.59,349.68,7435.0729
2021-06-17,349.67,350.19,348.08,350.06,15716.0849
2021-06-17,350.11,350.74,348.78,349.35,6744.6613
2021-06-17,349.39,349.39,347.22,347.9,12680.0635
2021-06-17,347.94,348.55,345.55,347.64,23748.8191
2021-06-17,347.64,349.65,347.03,348.9,13384.0659
2021-06-17,348.87,351.0,348.87,350.56,13194.0966
2021-06-17,350.58,352.3,350.03,351.61,13031.1505
2021-06-17,351.61,352.5,351.08,351.9,6877.6611
2021-06-17,351.94,353.89,351.38,353.67,11353.137
2021-06-17,353.64,354.71,352.89,353.24,18167.1097
2021-06-17,353.28,354.0,352.88,353.4,9560.1291
2021-06-17,353.4,355.22,353.25,354.73,14647.0429
2021-06-17,354.71,355.7,354.11,355.14,11856.7737
2021-06-17,355.14,355.57,353.91,354.18,12065.517
2021-06-18,354.15,355.06,353.47,353.85,9996.0028
2021-06-18,353.85,355.0,353.58,354.29,6578.4415
2021-06-18,354.29,357.12,354.29,356.55,21112.3696
2021-06-18,356.51,356.68,352.98,353.95,17456.4992
2021-06-18,353.96,354.46,353.06,353.62,7882.2158
2021-06-18,353.62,354.41,351.6,352.6,15719.2529
2021-06-18,352.57,353.51,351.83,353.01,6857.8728
2021-06-18,353.01,353.32,350.72,350.96,13215.2945
2021-06-18,350.96,352.55,350.96,352.16,15044.4951
2021-06-18,352.16,353.58,352.03,352.8,11302.9332
2021-06-18,352.8,354.3,352.0,354.12,15159.7305
2021-06-18,354.16,354.32,353.35,353.57,8704.1346
2021-06-18,353.59,355.34,353.21,354.95,18255.1603
2021-06-18,354.94,356.34,354.41,355.98,10833.8888
2021-06-18,355.97,356.4,354.77,354.88,9122.4841
2021-06-18,354.88,355.99,354.32,354.86,12187.2065
2021-06-18,354.86,355.71,354.22,354.53,20243.1941
2021-06-18,354.52,355.0,352.96,353.2,15519.4216
2021-06-18,353.2,353.56,351.24,351.6,13830.129
2021-06-18,351.62,351.95,350.32,350.75,10640.7662
2021-06-18,350.72,350.87,348.24,349.0,21554.1928
2021-06-18,348.99,351.68,347.58,350.9,29412.9468
2021-06-18,350.9,352.96,350.9,352.5,17333.844
2021-06-18,352.46,353.33,351.94,353.18,8144.9516
2021-06-18,353.19,354.63,353.16,353.96,15451.2693
2021-06-18,353.96,354.53,352.05,352.35,7911.8281
2021-06-18,352.36,352.95,350.44,351.96,22418.4464
2021-06-18,352.0,353.26,351.5,352.42,8640.4192
2021-06-18,352.44,353.5,349.2,349.87,18191.3071
2021-06-18,349.87,350.89,348.56,349.98,15169.4664
2021-06-18,349.92,350.44,347.86,347.96,15070.4878
2021-06-18,347.99,349.4,347.8,349.11,7835.7092
2021-06-18,349.12,349.83,346.0,346.63,19280.0652
2021-06-18,346.63,347.73,345.0,345.52,45340.053
2021-06-18,345.51,346.49,345.0,345.7,14385.1102
2021-06-18,345.7,347.0,345.55,346.21,12982.764
2021-06-18,346.21,347.5,339.12,340.1,55084.6314
2021-06-18,340.19,341.33,337.54,341.1,36769.5078
2021-06-18,341.15,342.67,339.98,340.6,26541.0896
2021-06-18,340.57,341.34,337.35,339.29,27726.4233
2021-06-18,339.38,341.86,337.78,339.36,38843.1322
2021-06-18,339.36,340.07,335.07,336.11,34835.7442
2021-06-18,336.11,337.8,335.3,336.22,21777.9864
2021-06-18,336.22,337.49,333.17,334.15,32423.5555
2021-06-18,334.19,337.0,333.28,336.21,30000.9264
2021-06-18,336.21,337.83,335.69,337.68,22257.581
2021-06-18,337.68,338.9,337.0,338.46,21815.2787
2021-06-18,338.45,339.14,337.63,338.24,16431.0167
2021-06-18,338.25,338.4,335.52,335.96,16240.5679
2021-06-18,335.98,336.9,335.32,336.32,10624.1642
2021-06-18,336.28,337.48,334.3,335.54,16032.3817
2021-06-18,335.54,336.97,334.05,334.05,16494.4033
2021-06-18,334.06,336.4,333.51,333.58,13343.2455
2021-06-18,333.54,335.3,330.34,330.74,31250.0066
2021-06-18,330.74,332.62,328.52,329.66,45098.3612
2021-06-18,329.63,331.04,327.22,329.69,39117.855
2021-06-18,329.63,331.3,327.83,329.2,29424.44
2021-06-18,329.2,331.5,329.0,330.16,20341.5624
2021-06-18,330.14,330.69,329.0,330.52,12984.7522
2021-06-18,330.45,330.45,328.63,329.08,10383.0792
2021-06-18,329.08,332.83,328.52,332.39,19526.8246
2021-06-18,332.38,334.33,332.22,333.31,19569.608
2021-06-18,333.31,333.54,330.25,331.23,11759.2695
2021-06-18,331.23,332.8,330.46,332.78,8739.3906
2021-06-18,332.78,334.38,332.02,333.71,17787.7136
2021-06-18,333.68,333.83,331.77,333.2,9440.9581
2021-06-18,333.2,335.0,332.78,334.93,8941.9405
2021-06-18,334.93,335.48,334.03,335.21,6992.0017
2021-06-18,335.22,335.3,333.54,333.96,6115.0043
2021-06-18,333.96,334.67,333.07,333.62,5215.2975
2021-06-18,333.62,334.71,332.7,334.26,8455.2524
2021-06-18,334.26,336.48,334.07,336.25,11836.4136
2021-06-18,336.28,336.28,334.32,335.18,8582.8773
2021-06-18,335.18,336.85,334.48,336.5,10471.8294
2021-06-18,336.5,338.35,336.4,337.77,16625.0749
2021-06-18,337.76,337.77,335.4,337.16,10460.9522
2021-06-18,337.21,339.48,335.31,339.06,15028.9361
2021-06-18,339.04,339.3,337.88,338.8,7236.9
2021-06-18,338.81,339.03,337.68,338.05,5343.6885
2021-06-18,338.08,338.8,337.01,337.9,6675.7954
2021-06-18,337.9,340.5,337.65,340.46,13186.5505
2021-06-18,340.47,341.09,339.43,339.56,12665.0591
2021-06-18,339.57,339.87,338.9,339.21,6047.6954
2021-06-18,339.23,340.73,339.14,340.54,9188.0544
2021-06-18,340.55,341.17,339.11,339.68,8771.2966
2021-06-18,339.67,339.87,338.07,338.34,8970.0628
2021-06-18,338.36,338.68,335.55,335.91,14659.1752
2021-06-18,335.97,336.45,334.58,335.52,10296.8877
2021-06-18,335.52,336.9,334.65,334.97,10820.924
2021-06-18,334.98,335.18,331.11,332.44,21377.9333
2021-06-18,332.47,334.59,331.61,332.54,18341.8392
2021-06-18,332.57,333.68,331.93,333.26,20664.4715
2021-06-18,333.29,334.35,332.49,332.72,13026.9777
2021-06-18,332.69,334.51,331.8,334.44,13534.1454
2021-06-18,334.48,336.35,333.0,333.78,14875.2193
2021-06-18,333.86,333.89,332.22,333.55,8404.8172
2021-06-19,333.45,336.33,333.45,335.93,18066.8787
2021-06-19,336.0,337.74,335.54,337.31,12111.3986
2021-06-19,337.32,338.8,337.3,337.9,15924.7622
2021-06-19,337.9,338.75,336.67,338.51,10445.0912
2021-06-19,338.52,339.45,337.87,338.85,12937.8153
2021-06-19,338.85,339.5,338.16,338.84,9912.3345
2021-06-19,338.83,340.0,338.83,339.35,13086.4457
